Key,Id,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
SellHousePoster,,WOW，住進去肯定波濤洶湧……不過業主求死是甚麼鬼？,WOW，住进去肯定波涛汹涌……不过业主求死是什么鬼？,"Wow, the real estate market is rough, but isn't saying ""owner is begging to die"" a bit dramatic?"
SiuLamRentHouse,,小林這麼久沒出場，原來改行做地產啦？,小林这么久没出场，原来改行做地产啦？,I haven't heard of this real estate company before.
SpittingPoster,,隨地吐痰黑人憎﹗由這四個人來扮演實在最適合不過。,随地吐痰黑人憎﹗由这四个人来扮演实在最适合不过。,People who spit are disgusting! This poster illustrates it well.
TaxiPoster,,哇﹗電召的士﹗……………弄成這樣誰會坐啊﹗,哇﹗电召的士﹗ ……………弄成这样谁会坐啊﹗,Who would call this taxi?!
ThrowRubbishPoster,,真不錯呢，在這招貼之下就有一堆亂拋的垃圾…,真不错呢，在这招贴之下就有一堆乱抛的垃圾…,It must have worked. There's a lot of garbage under this poster.
VitaPoster,,聽說此廣告一出，維他媽、維他妹、維他姐、維他姑、維他嫂、維他娘也紛紛效法。,听说此广告一出，维他妈、维他妹、维他姐、维他姑、维他嫂、维他娘也纷纷效法。,"After this advertisement with Miss Vitama spokespeople came out, it wasn't long until Mrs. Vitama, Mama Vitama, and Gramma Vitama all followed suit."
ThrowRubbishPoster2,,提醒人不要亂拋的垃圾的單張。,提醒人不要乱抛的垃圾的单张。,A poster reminding people not to litter.
Poley,,普洱汽水可能是世界上最好喝的汽水，不過這模特兒怎麼跟某人哪麼像？,普洱汽水可能是世界上最好喝的汽水，不过这模特儿怎么跟某人哪么像？,Pu-erh soda may be the best tasting soda in the world. Does this model look familiar?
NoSmoke,,禁煙的海報………但是為何禁煙就可以左擁右抱﹗怎麼可能啊﹗,禁烟的海报………但是为何禁烟就可以左拥右抱﹗怎么可能啊﹗,"This makes no sense, what does no smoking have to do with this picture?"
LeeChoiWa,,聽說這小背心一點都不保暖，誰會買啊。,听说这小背心一点都不保暖，谁会买啊。,"This vest looks really skimpy, who would buy this?"
GenuineNoodles,,莫非這碗就是傳說中的刻骨銘心初戀金銀情侶套餐裡的車仔麵？,莫非这碗就是传说中的刻骨铭心初恋金银情侣套餐里的车仔面？,Is this the legendary cart noodles that everyone talks about?
KeepCleanPoster,,這年頭，應該沒人不注重衛生了吧。,这年头，应该没人不注重卫生了吧。,"These days, everyone should pay attention to hygiene."
