Key,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
22,喂，你呀，背好東西就出來吧。,喂，你呀，背好东西就出来吧。,"Hey, you, go out with good things."
23,,,
24,………煩…煩死了﹗,………烦…烦死了﹗,.................... I'm annoying!
25,,,
26,,,
27,（這幢大廈便是我們需要派送外賣的地方。）,（这幢大厦便是我们需要派送外卖的地方。）,(This building is where we need to send takeaway.)
28,你不會連怎麼派送也不知道吧？,你不会连怎么派送也不知道吧？,"Don't you know how you send it, right?"
29,忘了,忘了,forget
30,我記得,我记得,I remember
31,我不太記得了。,我不太记得了。,I don't remember it.
32,嘖，送外賣也要教學？你沒病吧？,啧，送外卖也要教学？你没病吧？,"Alas, do you have to teach for takeaway? Are you not sick?"
33,我跟你簡單地說一遍吧，你的背包裡有幾份外賣，每份上面都有寫著送往哪個號碼的。,我跟你简单地说一遍吧，你的背包里有几份外卖，每份上面都有写着送往哪个号码的。,"Let me simply say it with you. There are a few takeaways in your backpack, which number is written on each of them."
34,這幢樓我們要負責的就兩層，由101開始到116，每層16個單位。,这幢楼我们要负责的就两层，由101开始到116，每层16个单位。,"We have to be responsible for this building with two floors, starting from 101 to 116, and 16 units on each floor."
35,你就按著每份外賣要送的號碼去那房間就可以了。,你就按着每份外卖要送的号码去那房间就可以了。,Just go to that room according to the number you want to send each takeaway.
36,去那房間之後呢？,去那房间之后呢？,After going to that room?
37,按鈴等裡面的住客應門，然後把外賣給他們。,按铃等里面的住客应门，然后把外卖给他们。,"The guests in the bell responded to the door, and then took the takeaway to them."
38,（就這樣？那還真的只是送外賣啊。）,（就这样？那还真的只是送外卖啊。）,(That's it? That's really just a takeaway.)
39,長髮的男人瞄了一眼你背包裡其中一份外賣。,长发的男人瞄了一眼你背包里其中一份外卖。,A long -haired man glanced at one of your backpacks.
40,你手上這份餐正好是眼前這戶的，你去按鈴吧。,你手上这份餐正好是眼前这户的，你去按铃吧。,"This meal in your hand happens to be in front of you, you go to the bell."
41,（按鈴，然後送餐，就這樣是吧。）,（按铃，然后送餐，就这样是吧。）,"(Lock the bell, then give meals, that's it.)"
42,我記得,我记得,I remember
43,記得就好了，,记得就好了，,"Just remember,"
44,長髮的男人瞄了一眼你背包裡其中一份外賣。,长发的男人瞄了一眼你背包里其中一份外卖。,A long -haired man glanced at one of your backpacks.
45,你手上這份餐正好是眼前這戶的，你去按鈴吧。,你手上这份餐正好是眼前这户的，你去按铃吧。,"This meal in your hand happens to be in front of you, you go to the bell."
46,按鈴,按铃,Bell
47,叮噹—,叮当—,Ding Dong-
48,動畫開門,动画开门,Animation open door
49,開門後一隻手探出來,开门后一只手探出来,"After opening the door, one hand was found out"
50,站著干嗎呢，把外賣給他呀。,站着干吗呢，把外卖给他呀。,"What are you standing, take the takeaway to him."
51,點擊一下手，手拿了外賣盒然後把門關上。,点击一下手，手拿了外卖盒然后把门关上。,"Click your hand, take the takeaway box with your hand and close the door."
52,拿了外賣盒然後把門關上。,拿了外卖盒然后把门关上。,Take the takeaway box and close the door.
53,砰!,砰!,boom!
54,（怎麼感覺這戶人怪怪的…）,（怎么感觉这户人怪怪的…）,(How do you feel that this family is weird ...)
55,這樣就好了？不用收錢嗎？,这样就好了？不用收钱吗？,That's fine? Don't you need to collect money?
56,他們都付過了，所以只是派送就可以了，不過…,他们都付过了，所以只是派送就可以了，不过…,"They have paid all, so they are just delivered, but ..."
57,你們怎麼有閒情在這走廊聊天啊……不怕嗎？,你们怎么有闲情在这走廊聊天啊……不怕吗？,Why do you have a leisurely chat in this corridor ... Are you afraid?
58,（這四眼從剛才就一直害怕著什麼。）,（这四眼从刚才就一直害怕着什么。）,(These four eyes have been afraid of something since just now.)
59,我那邊都派完了，先上二樓去，你們自己派吧。,我那边都派完了，先上二楼去，你们自己派吧。,"I have finished it over there, go to the second floor first, you can send it yourself."
60,啊﹗我…我跟你一起吧，跟在你後面好像比較安全…,啊﹗我…我跟你一起吧，跟在你后面好像比较安全…,"ah! I ... I'm with you, it seems safer to follow you ..."
61,哼，真是窩囊廢，隨你的便吧。,哼，真是窝囊废，随你的便吧。,"Hum, it's really wasteful, let's go with you."
62,那長得有點壯的和戴眼鏡的沒理會你便消失於黑暗中。,那长得有点壮的和戴眼镜的没理会你便消失于黑暗中。,You can disappear in the darkness if you don't care if you don't care if you don't care about glasses.
63,你…好像很熟悉流程什麼的，這行做了好久嗎？,你…好像很熟悉流程什么的，这行做了好久吗？,"You ... seem to be familiar with the process or something, have you done this for a long time?"
64,沒有，今天第一天。,没有，今天第一天。,"No, the first day of today."
65,欸？,欸？,Eh?
66,說罷，有著一把長髮的男人也離開了你的視線，走了跟你不一樣的方向去。而他說的話讓你感到莫名其妙。,说罢，有着一把长发的男人也离开了你的视线，走了跟你不一样的方向去。而他说的话让你感到莫名其妙。,"After all, a man with a long hair also left your sight and walked a different direction from you. And what he said made you feel inexplicable."
67,（送餐是吧…我得把手上的餐都送完。）,（送餐是吧…我得把手上的餐都送完。）,(Send me the meal ... I have to send the meals in my hand.)
68,（第二個外賣是送哪裡？）,（第二个外卖是送哪里？）,(Where is the second takeaway delivery?)
69,去1XX送第二個外賣，點擊按鈴,去1XX送第二个外卖，点击按铃,"Go to 1xx to get the second takeaway, click the ring bell"
70,動畫開門,动画开门,Animation open door
71,開門然後紅傘鬼出來(正常樣子),开门然后红伞鬼出来(正常样子),Open the door and then red umbrella ghosts come out (normal look)
72,你…你的外賣送來了。,你…你的外卖送来了。,You ... your takeaway is delivered.
73,…………,…………,..............
74,謝謝你，我真的謝謝你。,谢谢你，我真的谢谢你。,"Thank you, I really thank you."
75,不…不客氣。,不…不客气。,No ... you're welcome.
76,咦？好像在下雨呢，你要傘嗎？,咦？好像在下雨呢，你要伞吗？,"Huh? It seems to be raining, do you want an umbrella?"
77,下雨？沒有呀。,下雨？没有呀。,rain? No.
78,我這裡有好多……雨傘，你需要的我可以借你。,我这里有好多……雨伞，你需要的我可以借你。,"I have a lot of ... umbrella, I can borrow you what you need."
79,不用了，謝謝你。,不用了，谢谢你。,"No, thank you."
80,關門,关门,close the door
81,（怎麼覺得這裡的住客都怪怪的？）,（怎么觉得这里的住客都怪怪的？）,(How do you think the residents here are weird?)
82,（這裡的房間，每一所門都有這種信箱口…）,（这里的房间，每一所门都有这种信箱口…）,"(The room here, each door has such a mail box ...)"
83,要…窺看一下嗎？,要…窥看一下吗？,Want to ... see if you look at it?
84,要,要,want
85,不要,不要,don't want
86,（就看一眼，也沒壞吧…）,（就看一眼，也没坏吧…）,"(Just look at it, it's not bad ...)"
87,動畫，打開，然後看到裡面有很多雨傘,动画，打开，然后看到里面有很多雨伞,"Animated, open, and see that there are many umbrella inside"
88,（這女人家裡真的有好多雨傘啊…）,（这女人家里真的有好多雨伞啊…）,(There are really many umbrellas in this woman's house ...)
89,（別了………）,（别了………）,(do not………)
90,（得繼續送餐才行，不過話說回來……）,（得继续送餐才行，不过话说回来……）,"(You have to continue the meal, but then again ...)"
91,（我怎麼當上外送員的？我明明……）,（我怎么当上外送员的？我明明……）,(How did I become a sender? I obviously ...)
92,啊﹗﹗﹗,啊﹗ ﹗ ﹗,ah! Bind Bind
93,（？﹗）,（？﹗）,(?)
94,（這聲音？﹗是誰的尖叫聲？）,（这声音？﹗是谁的尖叫声？）,(This sound? Whose scream is it?)
95,聲音是從一樓另一方向傳來的，你的腦裡馬上想起了那長髮男人的模樣。,声音是从一楼另一方向传来的，你的脑里马上想起了那长发男人的模样。,"The sound came from the other direction of the first floor, and your mind immediately remembered the appearance of the long -haired man."
96,調查，去一樓另一邊,调查，去一楼另一边,"Investigate, go to the other side of the first floor"
97,當你抵達了剛才傳來聲音的地方時，卻沒有發現長髮男人的影蹤。,当你抵达了刚才传来声音的地方时，却没有发现长发男人的影踪。,"When you arrived at the place where the sound just came, he didn't find the trace of long -haired men."
98,奇怪了，聲音不是從這邊傳來的嗎？怎麼人不見了？,奇怪了，声音不是从这边传来的吗？怎么人不见了？,"Strange, didn't the sound come from here? Why is anyone gone?"
99,地下的是什麼？,地下的是什么？,What is the ground underground?
100,拿起地上的外賣盒,拿起地上的外卖盒,Pick up the takeaway box on the ground
101,"得到 ""吃完的外賣盒""。","得到 ""吃完的外卖盒""。","Get ""finished takeaway box""."
102,吼叫—,吼叫—,Roar -
103,（什麼回事？﹗）,（什么回事？﹗）,(what happend?!)
104,啊……啊﹗﹗﹗,啊……啊﹗ ﹗ ﹗,Ah ... ah Bind Bind
105,罪孽鬼動畫，然後一下把你給滅了,罪孽鬼动画，然后一下把你给灭了,"Sin ghost animation, and then destroy you"
106,LOADING,LOADING,Loading
107,又睜開了眼睛,又睁开了眼睛,Open my eyes again
108,………………,………………,…………………………
109,咦？,咦？,Huh?
110,果然，你也失敗了。,果然，你也失败了。,"Sure enough, you also failed."
111,失…失敗？,失…失败？,Lost ... failure?
112,看來真的無法違抗這些規則啊，不然的話………不然的話…………,看来真的无法违抗这些规则啊，不然的话………不然的话…………,"It seems that these rules cannot be disobeyed, otherwise ...... Otherwise ................"
113,怎麼了，我怎麼想不起來？,怎么了，我怎么想不起来？,"What's wrong, why can't I think of it?"
114,你說的規則………就是這裡寫的東西嗎？,你说的规则………就是这里写的东西吗？,The rules you said ... Is the thing written here?
115,不按這規則說的去做，就會有些恐怖的東西出來，然後不知怎樣的……我們就會回到這升降機裡。,不按这规则说的去做，就会有些恐怖的东西出来，然后不知怎样的……我们就会回到这升降机里。,"If you do it according to this rule, there will be some horrible things, and then we don't know what ... we will return to this lifting machine."
116,（啊？）,（啊？）,(ah?)
117,我知道我犯了什麼錯，剛才我明明聽到了腳步聲但沒有理會，應該是觸犯了第8條守則吧。,我知道我犯了什么错，刚才我明明听到了脚步声但没有理会，应该是触犯了第8条守则吧。,I knew what I made mistakes. Just now I heard footsteps but ignored it. It should be violated Article 8.
118,顯示規則第8條圖片,显示规则第8条图片,Display rules Article 8 pictures
119,8. 在1樓送餐時如聽到腳步聲請馬上找到空房間躲進去，直到聲音結束前都不要出來。,8. 在1楼送餐时如听到脚步声请马上找到空房间躲进去，直到声音结束前都不要出来。,"8. If you hear your footsteps on the first floor, please find the room to hide in the empty room immediately, and do not come out until the end of the sound."
120,聽到腳步聲就得躲在房間裡，而你卻什麼都沒做……,听到脚步声就得躲在房间里，而你却什么都没做……,"You have to hide in the room when you hear the footsteps, but you do nothing ..."
121,看來是了，那你是犯了什麼規？,看来是了，那你是犯了什么规？,"It seems that it is, what kind of rules did you commit?"
122,（我犯了什麼規呢？）,（我犯了什么规呢？）,(What kind of rules did I commit it?)
123,第6條,第6条,Article 6
124,第9條,第9条,Article 9
125,可能是……第6條？,可能是……第6条？,Maybe ... Article 6?
126,這裡是1樓，不是2樓，按道理不會因為這條規則失敗的。,这里是1楼，不是2楼，按道理不会因为这条规则失败的。,"This is the first floor, not the second floor. It does not fail because of this rule."
127,也是…但我真不知道犯了哪條規則。,也是…但我真不知道犯了哪条规则。,Also ... but I really don't know which rules I have committed.
128,（但我也肯定是觸犯了什麼規則，才看到那些恐怖的東西吧…）,（但我也肯定是触犯了什么规则，才看到那些恐怖的东西吧…）,"(But I must have violated what rules, so I saw those horrible things ...)"
129,也罷了。,也罢了。,Also.
130,第9條，我拾起了地上一份吃過的外賣。,第9条，我拾起了地上一份吃过的外卖。,"Article 9, I picked up a takeaway on the ground."
131,地上的？…………那應該是這樣了，回收盒子並不是你的工作。,地上的？ …………那应该是这样了，回收盒子并不是你的工作。,on the ground? ………… It should be like this. Recycling the box is not your job.
132,所以只要一觸犯任何一條規則，那些恐怖的東西就會出來然後把我們…,所以只要一触犯任何一条规则，那些恐怖的东西就会出来然后把我们…,"So as long as you violate any rules, those horrible things will come out and then take us ..."
133,不知道。,不知道。,have no idea.
134,叮—,叮—,Ding-
135,這次小心點吧。,这次小心点吧。,Be careful this time.
136,你跟著長髮男人步出了升降機，馬上便碰到剛才走上二樓派送的另外兩人。,你跟着长发男人步出了升降机，马上便碰到刚才走上二楼派送的另外两人。,"You followed the long -haired man to step out of the lift, and immediately touched the other two of the other two who just sent to the second floor."
137,你們……怎麼在升降機裡出來的？難不成…,你们……怎么在升降机里出来的？难不成…,How did you ... how did you come out in the lift? Could it be ...
138,嗯，如你所說，不過你們在二樓居然沒事？,嗯，如你所说，不过你们在二楼居然没事？,"Well, as you said, but you are okay on the second floor?"
139,這臭小子每走兩步就喊停，根本就沒送出幾份。,这臭小子每走两步就喊停，根本就没送出几份。,"This stinky boy stopped every two steps, and he didn't send a few copies at all."
140,這裡真的…好恐怖啊﹗特別是二樓………我真的受不了。,这里真的…好恐怖啊﹗特别是二楼………我真的受不了。,This is really ... so scary! Especially on the second floor ... I really can't stand it.
141,小心點不犯規就行了吧，任務還是要完成的。,小心点不犯规就行了吧，任务还是要完成的。,"Be careful not to foul, the task is still completed."
142,不是的，你們認真想想吧，我怎麼感覺這差事永遠都做不完啊？,不是的，你们认真想想吧，我怎么感觉这差事永远都做不完啊？,"No, think about it seriously, how do I feel that this errand will never be done?"
143,（做不…完？）,（做不…完？）,(Can't do it ... finished?)
144,因為有你這種廢材的關係呀，你別黏著我了，我自己去送一送就完事了﹗,因为有你这种废材的关系呀，你别黏着我了，我自己去送一送就完事了﹗,"Because there is a waste material like you, don't stick to me, I will get it out for myself."
145,你們……不覺得奇怪嗎？突然要我們遵守什麼規則的……這地方…不會是受了什麼詛咒吧？,你们……不觉得奇怪吗？突然要我们遵守什么规则的……这地方…不会是受了什么诅咒吧？,Do you ... don't you think it is strange? Suddenly what rules we follow ... This place ... won't be a curse?
146,你怕的話就去升降機那裡等吧，不過你的那些單子我可不會幫你送。,你怕的话就去升降机那里等吧，不过你的那些单子我可不会帮你送。,"If you are afraid, go to the lifting machine and wait, but I will not send you those lists."
147,別啊大哥﹗你就幫幫我吧？,别啊大哥﹗你就帮帮我吧？,"Don't, Brother! Do you help me?"
148,神經病，我干嗎要幫你？,神经病，我干吗要帮你？,"Neuropathy, why do I want to help you?"
149,規則的第一條就說，身上的外賣必須由自己親手送出，如果你不去送，就犯規了。,规则的第一条就说，身上的外卖必须由自己亲手送出，如果你不去送，就犯规了。,"The first article of the rules said that the takeaway must be sent by yourself. If you don't send it, you will foul."
150,………這……這怎麼辦啊？,………这……这怎么办啊？,............ What should I do?
151,難不成這是什麼膽量的考驗？,难不成这是什么胆量的考验？,Is this the test of this guts?
152,腳步聲,脚步声,Footsteps
153,殊﹗聽聽？,殊﹗听听？,special! Listen?
154,這聲音……是腳步聲﹗,这声音……是脚步声﹗,This sound ... is footsteps 是
155,糟糕﹗趕緊，快點躲進空置的房間裡﹗,糟糕﹗赶紧，快点躲进空置的房间里﹗,Oops! Hurry up and hide in the empty room!
156,哇…哇啊﹗,哇…哇啊﹗,Wow ... Wow!
157,（有什麼東西在靠近，長毛要我們找個地方躲起來？）,（有什么东西在靠近，长毛要我们找个地方躲起来？）,"(Is there something approaching, long hair want us to find a place to hide?)"
158,得馬上找到空置的房間並躲進去。,得马上找到空置的房间并躲进去。,Find the vacant room immediately and hide in.
159,找到房間點進去,找到房间点进去,Find the room and click in
160,在千鈞一髮之際，你找到了一所沒人的空置房間。推門而進後，你趕緊關上大門。,在千钧一发之际，你找到了一所没人的空置房间。推门而进后，你赶紧关上大门。,"At the time of the moment, you found a vacant room. After pushing the door and entering, you quickly close the door."
161,外面的腳步聲愈來愈近，你的心跳也愈快加劇，緊張得汗流浹背。,外面的脚步声愈来愈近，你的心跳也愈快加剧，紧张得汗流浃背。,"The sound of footsteps outside is getting closer and closer, the faster your heartbeat is intensified, and your tension is sweating."
162,好險……,好险……,so close……
163,那究竟是什麼東西？,那究竟是什么东西？,What exactly is it?
164,從防盜眼可以看到外邊的情況…,从防盗眼可以看到外边的情况…,You can see the situation outside from the anti -theft eye ...
165,防盜眼，然後鬼向你看,防盗眼，然后鬼向你看,"Anti -theft eye, then look at you"
166,﹗﹗,﹗ ﹗,Bind Bind
167,（這究竟是…什麼東西﹗）,（这究竟是…什么东西﹗）,(What is this ... what?)
168,這大廈有鬼…而且還會襲擊我們﹗只要我們不遵守規則，她們就會把我們……,这大厦有鬼…而且还会袭击我们﹗只要我们不遵守规则，她们就会把我们……,"There are ghosts in this building ... and also attack us! As long as we do not follow the rules, they will ..."
169,怎麼想這裡也不正常……太怪異了，基本不像正常人的世界……,怎么想这里也不正常……太怪异了，基本不像正常人的世界……,"It ’s not normal to think here ... too weird, basically not like the world of normal people ..."
170,欸……我的頸好痛………不……不單如此，我的腹腔也有著劇痛………,欸……我的颈好痛………不……不单如此，我的腹腔也有着剧痛………,"Alas ... My neck hurts ...... No ... not only that, my abdominal cavity also has drama ..."
171,好像之前經歷過什麼傷害似的，可是身上卻沒有傷口…,好像之前经历过什么伤害似的，可是身上却没有伤口…,"It seems that I have experienced any damage before, but there is no wound on my body ..."
172,你忍著痛楚，在房間裡緩緩的坐下。這房間什麼東西都沒有，明顯是沒人居住。,你忍着痛楚，在房间里缓缓的坐下。这房间什么东西都没有，明显是没人居住。,"You endure the pain and sit slowly in the room. There is nothing in this room, obviously no one lives."
173,你環顧四周，漆黑感讓你感到有點窒息…,你环顾四周，漆黑感让你感到有点窒息…,"You look around, the darkness makes you feel a little suffocated ..."
174,不久，你的痛楚感舒緩了些許，同時留意到房間裡唯一惹人注意的部份。,不久，你的痛楚感舒缓了些许，同时留意到房间里唯一惹人注意的部份。,"Soon, your pain relieved a little bit, and pay attention to the only part of the notice in the room."
175,一張貼在牆上的紙，上面寫著什麼文字。,一张贴在墙上的纸，上面写着什么文字。,"A piece of paper sticking to the wall, what text is written on it."
176,顯示住客守則，但亂碼的,显示住客守则，但乱码的,"Show the guest rules of the guest, but the garbled"
177,看不懂，上面的文字你完全看不明白。,看不懂，上面的文字你完全看不明白。,"I don't understand, you don't understand the text above."
178,（這大廈究竟是什麼回事？為何存在著這麼恐怖的東西……而我…我們又為何能見到到它們？）,（这大厦究竟是什么回事？为何存在着这么恐怖的东西……而我…我们又为何能见到到它们？）,(What exactly is this building? Why is there such a horrible thing ... and I ... why can we see them?)
179,（而我……我怎麼會待在這裡？）,（而我……我怎么会待在这里？）,(And I ... how can I stay here?)
180,這時，外邊已沒有動靜，腳步聲也不再出現。你再次窺看那防盜眼…,这时，外边已没有动静，脚步声也不再出现。你再次窥看那防盗眼…,"At this time, there was no movement outside, and the sound of footsteps no longer appeared. You look at the anti -theft eye again ..."
181,防盜眼,防盗眼,Anti -theft eye
182,似乎那些嚇人的東西已經不見了。,似乎那些吓人的东西已经不见了。,It seems that those scary things are gone.
183,你鼓起了勇氣，把關著的門打開，從房間裡走出來。,你鼓起了勇气，把关着的门打开，从房间里走出来。,"You have the courage, open the closed door, and come out of the room."
184,走廊跟之前一樣空無一人，且還是帶著那種寂靜得讓人發毛的氣息。,走廊跟之前一样空无一人，且还是带着那种寂静得让人发毛的气息。,"The corridor is as empty as before, and it still has the kind of silence that makes people hairy."
185,（其他人呢？都走了嗎？）,（其他人呢？都走了吗？）,(What about the others? Are you all left?)
186,（可能都離開了吧…我手上還剩下些二樓的外送，先上二樓看看。）,（可能都离开了吧…我手上还剩下些二楼的外送，先上二楼看看。）,"(Maybe it's all left ... I still have some delivery on the second floor in my hand, first look at the second floor.)"
187,調查，直到上二樓,调查，直到上二楼,Survey until the second floor
188,戰戰兢兢的走上二樓，就發現了那三人的影蹤。,战战兢兢的走上二楼，就发现了那三人的影踪。,"Going to the second floor trembling, the trace of the three of them found."
189,他沒事。,他没事。,He is fine.
190,你們……都沒事啊，那就好了。,你们……都没事啊，那就好了。,"You ... it's okay, that's fine."
191,這裡是二樓，二樓也有二樓的規則，你得小心了。,这里是二楼，二楼也有二楼的规则，你得小心了。,This is the second floor and the second floor on the second floor. You have to be careful.
192,（二樓的守則…有哪些？）,（二楼的守则…有哪些？）,(Code on the second floor ... What are there?)
193,剛才在房間裡的時候，你們有留意到牆上的紙嗎？,刚才在房间里的时候，你们有留意到墙上的纸吗？,"When you were in the room just now, did you notice the paper on the wall?"
194,嗯，有，因為它的樣式，很像那份外送員守則。,嗯，有，因为它的样式，很像那份外送员守则。,"Well, yes, because of its style, it is very similar to that dependent rules."
195,是吧，我就知道我的懷疑是合理的，但上面的內容我卻完全看不懂。,是吧，我就知道我的怀疑是合理的，但上面的内容我却完全看不懂。,"Yes, I know that my suspicion is reasonable, but I don't understand the above content."
196,（房間裡也有著跟升降機中一樣的紙，可是大家都同樣看不明白裡面的內容……這意味著什麼？）,（房间里也有着跟升降机中一样的纸，可是大家都同样看不明白里面的内容……这意味着什么？）,"(There is also the same paper in the room as the lifting machine, but everyone does not understand the content in the same way ... What does this mean?)"
197,先別管了，我們的任務就是把手上的外賣送完。,先别管了，我们的任务就是把手上的外卖送完。,"Don't manage it first, our task is to finish the take -out in our hands."
198,那就繼續吧。,那就继续吧。,Then continue.
199,啊﹗﹗﹗﹗,啊﹗ ﹗ ﹗ ﹗,ah! Bind Bind Bind
200,LOADING，然後回到升降機裡。,LOADING，然后回到升降机里。,"Loading, then return to the lifting machine."
201,…………,…………,..............
202,我……我又回來這裡？,我……我又回来这里？,I ... I am back here?
203,為…為何？,为…为何？,For ... why?
204,啊……我的心……我胸口這痛楚感……,啊……我的心……我胸口这痛楚感……,Ah ... my heart ... my chest pain in my chest ...
205,調查，出電梯，直到你走上二樓,调查，出电梯，直到你走上二楼,"Investigate, out of the elevator until you go to the second floor"
206,他又回來了。,他又回来了。,He is back again.
207,剛才那情況，你應該要躲起來的。,刚才那情况，你应该要躲起来的。,"Just now, you should hide."
208,（躲…起來？）,（躲…起来？）,(Hide ... Get up?)
209,不過也沒差，你還是回來了。,不过也没差，你还是回来了。,"But it's not bad, you are still back."
210,（我回來了？發生……發生什麼事？）,（我回来了？发生……发生什么事？）,(I'm back? What happened ... what happened?)
211,喂，剛才在房間裡的時候，你們有留意到牆上的紙嗎？,喂，刚才在房间里的时候，你们有留意到墙上的纸吗？,"Hey, did you notice the paper on the wall when you were in the room just now?"
212,那健壯的男人對其他兩人說。,那健壮的男人对其他两人说。,The strong man said to the other two.
213,嗯，有，因為它的樣式，很像那份外送員守則。,嗯，有，因为它的样式，很像那份外送员守则。,"Well, yes, because of its style, it is very similar to that dependent rules."
214,是吧，我就知道我的懷疑是合理的，但上面的內容我卻完全看不懂。,是吧，我就知道我的怀疑是合理的，但上面的内容我却完全看不懂。,"Yes, I know that my suspicion is reasonable, but I don't understand the above content."
215,（他們說的是什麼？…………我聽不懂，因為我根本沒有找到房間走進去。）,（他们说的是什么？…………我听不懂，因为我根本没有找到房间走进去。）,"(What are they talking about? ............ I don’t understand, because I didn’t find the room to go in at all.)"
216,先別管了，我們的任務就是把手上的外賣送完。,先别管了，我们的任务就是把手上的外卖送完。,"Don't manage it first, our task is to finish the take -out in our hands."
217,那就繼續吧。,那就继续吧。,Then continue.
218,…………,…………,..............
219,你沒事吧？,你没事吧？,Are you OK?
220,不對勁……這不對勁啊﹗你不覺得嗎？,不对劲……这不对劲啊﹗你不觉得吗？,No right ... this is wrong﹗ Do not you think so?
221,（不對勁？…………）,（不对劲？…………）,(No right? ………)
222,（對，這真的不對勁，怎麼看也不可能認為是正常吧？）,（对，这真的不对劲，怎么看也不可能认为是正常吧？）,"(Yes, this is really wrong, why can't you think it is normal?)"
223,我們為何要繼續待下去？我們怎麼還要繼續送餐？,我们为何要继续待下去？我们怎么还要继续送餐？,Why should we continue? Why do we continue to deliver meals?
224,不對啊……這不對啊………,不对啊……这不对啊………,No ... this is wrong ...
225,那四眼的男人明顯被嚇得犯傻了，他開始語無倫次，而且極度驚慌。,那四眼的男人明显被吓得犯傻了，他开始语无伦次，而且极度惊慌。,The four -eyed man was obviously scared. He began to be incoherent and panicked.
226,看著自己手上的外賣，是214單位。,看着自己手上的外卖，是214单位。,"Looking at the takeaway in my hand, it is 214 units."
227,（但我還是得把這餐先送了。）,（但我还是得把这餐先送了。）,(But I still have to give this meal first.)
228,調查，去214單位按鈴，把餐送了。,调查，去214单位按铃，把餐送了。,"Investigation, go to 214 units to ring the bell and give me the meal."
229,你有東西給我嗎？,你有东西给我吗？,Do you have something to give me?
230,（這住客的樣子看起來很正常，應該沒問題吧。）,（这住客的样子看起来很正常，应该没问题吧。）,"(The appearance of this guest looks normal, it should be okay.)"
231,哦對，這是你的外賣。,哦对，这是你的外卖。,"Oh yes, this is your takeaway."
232,謝謝囉，餓死了，真的快要撐不住呢。,谢谢啰，饿死了，真的快要撑不住呢。,"Thank you, starved to death, really can't hold it."
233,（我腦裡突然泛起一絲衝動。）,（我脑里突然泛起一丝冲动。）,(I suddenly had a trace of impulse in my mind.)
234,那我先吃飯了。,那我先吃饭了。,Then I eat first.
235,等一會﹗,等一会﹗,Wait a while
236,哦？你有什麼事情？,哦？你有什么事情？,oh? What do you have?
237,我想問你…問你一些事情，你方便嗎？,我想问你…问你一些事情，你方便吗？,"I want to ask you ... ask you something, are you convenient?"
